"","elasticity","SE","DIDorRKD","RDD","MacroTreatment","PBD","RRxBaselinePBD","RRxBaselineRR","PBDxBaselinePBD","PBDxBaselineRR","Admin","NonemploymentAsOutcome","HazardModel","YearsTo2023","RelativeUnemp","USA","TaxWedge","ImpactFactorZ"
"1",0.42,0.06331168831022,0,1,0,1,0,0,73,0.4086208984,1,1,0,5,1.23533950617284,1,28.40886,0.599229328776407
"2",0.8943395583,0.101748227916286,0,1,0,1,0,0,73,0.4086208984,1,0,0,5,1.23533950617284,1,28.40886,0.599229328776407
"3",0.1758704453,0.0547530364178817,1,0,0,1,0,0,48,0.6,1,1,0,2,2.07922369259259,0,48.09457,-0.133211953527516
"4",0.5294089552,0.0628776119402758,1,0,0,1,0,0,48,0.6,1,0,0,2,2.07922369259259,0,48.09457,-0.133211953527516
"5",0.05614646905,0.0152862539971855,0,1,0,1,0,0,30,0.55,1,1,0,6,-0.0395777952830185,0,47.81829,0.821921615784022
"6",0.3893979592,0.188418367324449,1,0,0,0,57.14285714,0.7386,0,0,1,1,0,8,0.179677419354839,0,22.79827,-1.0662269800744
"7",0.1915,0.0347339782366828,1,0,0,0,26,0.269,0,0,1,1,1,9,-0.86466049382716,1,28.40886,-0.812590259758576
"8",0.19,0.0631229235880399,0,0,0,0,33,0.5083333333,0,0,1,1,1,22,0.232716045185185,0,31.45074,-0.0241530072682286
"9",0.32,0.0780756013802048,1,1,0,0,29.12492264,0.5487646298,0,0,1,1,0,8,1.05200617283951,1,28.40886,-0.224592210496808
"10",0.73,0.110000000006027,1,1,0,0,29.12492264,0.5487646298,0,0,1,0,0,8,1.05200617283951,1,28.40886,-0.224592210496808
"11",0.33,0.425000000019318,1,1,0,1,0,0,29.12492264,0.5487646298,1,1,0,8,1.05200617283951,1,28.40886,-0.224592210496808
"12",1.348,0.684999999888205,1,1,0,1,0,0,29.12492264,0.5487646298,1,0,0,8,1.05200617283951,1,28.40886,-0.224592210496808
"13",0.206,0.0730000000056699,1,1,0,0,24.90909091,0.52,0,0,1,0,0,8,-1.03966049382716,1,28.40886,-1.01289492197277
"14",0.3062463162,0.0451446134014974,1,0,1,1,0,0,26,0.539,1,0,1,23,-1.18132716049383,1,28.40886,-0.133211953527516
"15",0.1776129994,0.0305570751655914,0,1,0,1,0,0,20,0.55,1,1,1,16,-0.263686915283019,0,47.81829,3.07927766331372
"16",-0.02778549597,0.215615448696151,0,1,0,1,0,0,48,0.6,1,1,0,4,1.51917160259259,0,48.09457,-0.612985210819175
"17",0.478,0.173054481567254,0,1,0,1,0,0,48,0.6,1,0,0,4,1.51917160259259,0,48.09457,-0.612985210819175
"18",0.192047058824292,0.0378355575021367,0,0,0,0,26.72,0.32,0,0,0,1,1,37,1.05200617283951,1,28.40886,-0.133211953527516
"19",1.06,0.409999999945849,1,1,0,0,26.87882213,0.5211025269,0,0,1,0,0,2,-0.531327160493827,1,28.40886,0.29153402888128
"20",0.07620927276,0.0141700675709625,0,1,0,1,0,0,25.71428571,0.4,1,0,0,6,-0.640645161290324,0,39.90168,-0.934000071138271
"21",0.09162352941,0.0426588235222034,0,1,0,1,0,0,16,0.79,1,1,0,2,-0.160645161290324,0,32.5,-0.224592210496808
"22",0.894025974,0.00872727272620781,0,1,0,1,0,0,16,0.79,1,0,0,2,-0.160645161290324,0,32.5,-0.224592210496808
"23",0.631986534788911,0.24908028281147,1,0,0,0,60,0.74,0,0,1,1,1,16,-2.3741935483871,0,42.5686,-0.934000071138271
"24",0.08914371402,0.0150136781507368,1,0,0,1,0,0,93.63280378,0.6,1,1,0,1,4.80412033259259,0,48.09457,-1.01720023443304
"25",0.4150943396,0.122086570470588,1,0,1,1,0,0,38.4,0.7,1,1,1,17,0.544096774193548,0,43.60614,0.29153402888128
"26",0.104279349038007,0.00959320459021645,0,1,0,1,0,0,48,0.63,1,1,0,11,2.42076209259259,0,48.09457,3.07927766331372
"27",0.54022169007945,0.0094387207056495,0,1,0,1,0,0,48,0.63,1,0,0,11,2.42076209259259,0,48.09457,3.07927766331372
"28",0.1329113924,0.0275316455679815,0,1,0,1,0,0,59.05170062,0.63,1,1,0,7,2.42076209259259,0,48.09457,0.821921615784022
"29",0.5222088836,0.0145858343333244,0,1,0,1,0,0,59.05170062,0.63,1,0,0,7,2.42076209259259,0,48.09457,0.821921615784022
"30",0.4438768172,0.131519056948148,0,0,1,0,45.54857143,0.8,0,0,1,0,1,14,0.686451612903227,0,39.25475,-1.12133497956589
"31",0.3566433566,0.153875560949698,0,0,0,0,27.02,0.44,0,0,0,1,1,28,1.57700617283951,1,28.40886,0.14851693059159
"32",1.080875556,0.468175852916623,1,0,0,1,0,0,20.13242927,0.65,0,1,1,15,-1.13258064516129,0,41.83687,-0.86646048191774
"33",0.06,0.0171428571428571,0,0,0,0,60,0.9,0,0,1,1,1,27,-4.1041935483871,0,42.5686,-0.133211953527516
"34",1.967933954,0.967002029262406,1,0,0,0,60,0.8,0,0,1,1,1,22,2.2058064516129,0,42.5686,0.0196266388121711
"35",0.632,0.331999999970582,0,0,0,0,26.1525,0.4059827916,0,0,0,1,1,7,1.36867283950617,1,28.40886,0.44386136536631
"36",1.716142945,0.0618659436149637,1,0,0,1,0,0,173,0.624,1,1,1,11,0.578387096774194,0,35.95625,0.107670278624752
"37",0.685741850029606,0.124050977346594,0,0,0,0,173,0.53,0,0,1,1,1,20,1.23838709677419,0,35.95625,0.0196266388121711
"38",0.62882352941079,0.0771743633174982,0,0,0,0,60,0.8,0,0,1,1,1,15,-0.861612903225806,0,35.95625,-0.749275258389688
"39",0.65,0.08,0,0,0,0,173,0.52,0,0,1,1,1,18,1.23838709677419,0,35.95625,-0.391611425752519
"40",0.4459459459,0.0770200251986183,0,0,0,0,30,0.5,0,0,0,0,0,46,-2.56466049382716,1,28.40886,-0.987009230805381
"41",0.66,0.174339622628352,0,0,0,0,34.3,0.6123058542,0,0,1,0,1,33,1.05200617283951,1,28.40886,-0.133211953527516
"42",0.5265,0.326131578940767,0,0,0,1,0,0,34.3,0.6123058542,1,0,1,33,1.05200617283951,1,28.40886,-0.133211953527516
"43",0.4118078736,0.348037100424178,0,0,0,0,22.92,0.34371976,0,0,1,0,1,33,1.05200617283951,1,28.40886,3.07927766331372
"44",0.645762102906354,0.23943274743806,0,1,0,1,0,0,48,0.6,1,1,1,10,3.20521114259259,0,48.09457,-0.0241530072682286
"45",0.425565868027688,0.0474859157949159,0,1,0,1,0,0,48,0.678,1,1,0,14,-4.03258064516129,0,41.83687,-0.780892396769817
"46",0.4065789474,0.08131578948,1,0,0,1,0,0,82.4,0.7,1,1,1,4,-0.0148387096774192,0,35.32813,-0.612985210819175
"47",0.5958629557,0.305615782681461,0,0,0,0,26.48,0.4361305595,0,0,0,1,1,33,1.38533950617284,1,28.40886,-0.987009230805381
"48",0.527,0.266999999937176,0,0,0,0,26.1525,0.49,0,0,0,1,1,15,-0.506327160493827,1,28.40886,0.599229328776407
"49",0.402112753865385,0.0286245707224619,0,1,0,1,0,0,52,0.404,1,1,0,16,-0.498901025283019,0,47.81829,-1.01289492197277
"50",0.494332585059477,0.0540762032208672,0,1,0,1,0,0,52,0.404,1,1,0,15,-0.498901025283019,0,47.81829,0.18723783453117
"51",0.5815621857,0.0679718404265883,1,0,1,1,0,0,52,0.404,1,1,0,8,-0.0395777952830185,0,47.81829,0.821921615784022
"52",1.402403846,0.261730769178154,1,0,1,1,0,0,52,0.404,1,0,0,8,-0.0395777952830185,0,47.81829,0.821921615784022
"53",0.105066336836502,0.0124084690012937,1,0,0,1,0,0,29.5,0.4,1,1,1,17,-0.606734985283019,0,47.81829,0.44386136536631
"54",0.1660194175,0.041504854375,1,0,0,0,25.1,0.414,0,0,1,1,1,17,-0.606734985283019,0,47.81829,0.44386136536631
"55",0.08782122905,0.0359806652665039,1,0,0,1,0,0,30,0.404,1,1,1,19,-0.606734985283019,0,47.81829,-0.133211953527516
"56",0.16,0.0228571428571429,0,0,0,1,0,0,34.3,0.6123058542,1,0,1,38,-0.272993827160494,1,28.40886,0.18723783453117
"57",0.36,0.00571428571428571,0,0,0,0,34.3,0.6123058542,0,0,1,0,1,38,-0.272993827160494,1,28.40886,0.18723783453117
"58",0.79,0.251945945973183,1,0,0,0,100,0.522,0,0,1,1,1,13,0.457741935483872,0,42.7084,-0.612985210819175
"59",0.06550125027,0.0247189242117725,1,0,0,0,52,0.45,0,0,1,1,0,25,-0.175629005283019,0,47.81829,-0.439265853047164
"60",0.534987326597775,0.139285908443782,0,0,1,0,26.945,0.62,0,0,0,1,1,39,-0.0563271604938276,1,28.40886,0.29153402888128
"61",0.5547368421,0.0715789473677419,1,0,0,1,0,0,79.7,0.4879541109,1,1,0,3,0.457741935483872,0,42.7084,-0.612985210819175
